"","Id","Query__c"
"52","a1D36000003Uqc4EAC","CULTIVO DE CAFE GENERALIDADES DEL CAFE FASE VEGETATIVA DEL CAF<U+FFFD>Generalidades"
"53","a1D36000003Uqc5EAC","CULTIVO DE CAFE GENERALIDADES DEL CAFE FASE VEGETATIVA DEL CAF<U+FFFD>Etapas"
"54","a1D36000003Ur8HEAS","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Recoleccion tradicional."
"55","a1D36000003Ur8IEAS","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Raselca II."
"56","a1D36000003Ur8JEAS","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Mallas plasticas en piso."
"57","a1D36000003Ur8KEAS","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Descafe."
"58","a1D36000003Ur8LEAS","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Cifarelli SC 700."
"59","a1D36000003Ur8MEAS","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Aspiradora multifuelle."
"60","a1D36000003Ur8NEAS","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Aroandes  III."
"61","a1D36000003yLslEAE","Lombricultivo con Pulpa de Caf<U+FFFD> 2-Siembra de la Lombriz"
"62","a1D36000003yMFfEAM","Lombricultivo con Pulpa de Caf<U+FFFD> 4-Recolecci<U+FFFD> de los Productos (Lombrices y lombricompuestos)."
"63","a1D36000003yMFgEAM","Lombricultivo con Pulpa de Caf<U+FFFD> 1-Infraestructura"
"64","a1D36000003UphQEAS","CULTIVO DE CAFE GENERALIDADES DEL CAFE ORIGEN DEL CAFE"
"65","a1D36000003UqJEEA0","CULTIVO DE CAFE GENERALIDADES DEL CAFE ORIGEN DEL CAFE"
"66","a1D36000003UqYPEA0","CULTIVO DE CAFE GENERALIDADES DEL CAFE MORFOLOG<U+FFFD> Flor Floraci<U+FFFD> zonas cafeteras"
"67","a1D36000003UqfnEAC","CULTIVO DE CAFE MANEJO Y PRODUCCI<U+FFFD> Preparaci<U+FFFD> del terreno Ahoyado"
"68","a1D36000003wqgCEAQ","Best Practices Fertlization"
"69","a1D36000003wqgDEAQ","Best Practices Pruning"
"70","a1D36000003wqgEEAQ","Best Practices Fertlization"
"71","a1D36000003yP5mEAE","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Manejo de suelos"
"72","a1D36000003yP5nEAE","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"73","a1D36000003yP5wEAE","Descripci<U+FFFD> General y Construcci<U+FFFD>"
"74","a1D36000003yP5xEAE","Descripci<U+FFFD> General y Construcci<U+FFFD>"
"75","a1D36000003yP5yEAE","Descripci<U+FFFD> General y Construcci<U+FFFD>"
"76","a1D36000003yipcEAA","Datos Importantes de la trampa"
"77","a1D36000003yipdEAA","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Decolorado Reposado"
"78","a1D36000003yipeEAA","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Negro total o parcial"
"79","a1D36000003yipfEAA","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Averanado o Arrugado"
"80","a1D36000003yipgEAA","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Cristalizado"
"81","a1D36000003yiphEAA","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Vinagre o Parcialmente Vinagre"
"82","a1D36000003yipiEAA","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Aplastado"
"83","a1D36000003yipjEAA","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Aplastado"
"84","a1D36000003yipkEAA","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Aplastado"
"85","a1D36000003yiplEAA","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"86","a1D36000003VAdFEAW","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Broca Control de la Broca Control biol<U+FFFD>ico"
"87","a1D36000003VAdGEAW","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Broca Caracter<U+FFFD>ticas de la Broca"
"88","a1D36000003xh9WEAQ","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Sellos de Caf<U+FFFD>Especial en el Mundo Caf<U+FFFD>Especial - Sostenible Caf<U+FFFD>Especial - Amigables con las Aves Requisitos"
"89","a1D36000003xiOfEAI","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Fertilizaci<U+FFFD>"
"90","a1D36000003yAZxEAM","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Soluci<U+FFFD> de Tabaco Fermentada"
"91","a1D36000003xicwEAA","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"92","a1D36000003xiedEAA","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"93","a1D36000003xieeEAA","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Sellos de Caf<U+FFFD>Especial en el Mundo Caf<U+FFFD>Especial - Verificaciones Caracter<U+FFFD>ticas de la Verificaci<U+FFFD> Starbucks - Cafe Practices"
"94","a1D36000003xiefEAA","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Zaranda"
"95","a1D36000003xiegEAA","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Almacigo."
"96","a1D36000003xiehEAA","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Fertilizaci<U+FFFD>"
"97","a1D36000003Vn0eEAC","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL ENFERMEDADES DEL CAF<U+FFFD>Ojo de gallo o Gotera Control del Ojo de Gallo o Gotera Control qu<U+FFFD>ico"
"98","a1D36000003Vn0fEAC","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL ENFERMEDADES DEL CAF<U+FFFD>Ojo de gallo o Gotera Caracter<U+FFFD>ticas del Ojo de Gallo o Gotera"
"99","a1D36000003Vn0gEAC","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Preparaci<U+FFFD> del terreno. Ahoyado."
"100","a1D36000003yr84EAA","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Chinche de la Chamusquina Caracter<U+FFFD>ticas del Chinche de la Chamusquina"
"101","a1D36000003yr85EAA","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Minador Caracter<U+FFFD>ticas del Minador"
"102","a1D36000003yr86EAA","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Nematodos Caracter<U+FFFD>ticas de los Nem<U+FFFD>odos"
"103","a1D36000003yr87EAA","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Cochinilla Control de la Cochinilla Control cultural"
"104","a1D36000003yr88EAA","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Cochinilla Caracter<U+FFFD>ticas de la Cochinilla"
"105","a1D36000003yr89EAA","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Recolecci<U+FFFD> Tipos de Recolecci<U+FFFD> Recolecci<U+FFFD> Mec<U+FFFD>ica Cifarelli SC 700"
"106","a1D36000003yr8AEAQ","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Recolecci<U+FFFD> Tipos de Recolecci<U+FFFD> Recolecci<U+FFFD> Manual M<U+FFFD>odo tradicional"
"107","a1D36000003yr8BEAQ","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Recolecci<U+FFFD> Tipos de Recolecci<U+FFFD> Recolecci<U+FFFD> Manual Metodo Aroandes"
"108","a1D36000003yr8CEAQ","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Recolecci<U+FFFD> Tipos de Recolecci<U+FFFD> Recolecci<U+FFFD> Manual M<U+FFFD>odo mejorado"
"109","a1D36000003yr8DEAQ","CULTIVO DE CAF<U+FFFD> GENERALIDADES DEL CAF<U+FFFD> FASE REPRODUCTIVA DEL CAF<U+FFFD> Generalidades."
"110","a1D36000003yr8EEAQ","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"111","a1D36000003yr8FEAQ","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"112","a1D36000003yr8GEAQ","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"113","a1D36000003yr8HEAQ","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Flojo"
"114","a1D36000003yAdGEAU","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Extracto de Marco o Altamisa (Ambrosia arborescens)."
"115","a1D36000003yAccEAE","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Extracto de Raices de Marigol o Rosa Amarilla (Tagetes erecta)."
"116","a1D36000003Vwo9EAC","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"117","a1D36000005CHBfEAO","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Densidad. Generalidades."
"118","a1D36000005CHBgEAO","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Densidad. Generalidades."
"119","a1D36000003z5oUEAQ","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Fertilizaci<U+FFFD>. Fertilizaci<U+FFFD> Org<U+FFFD>ica. Importante."
"120","a1D36000003z5oVEAQ","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Fertilizaci<U+FFFD>. Fertilizaci<U+FFFD> Org<U+FFFD>ica. Establecimiento y Producci<U+FFFD> del caf<U+FFFD>"
"121","a1D36000003z5oWEAQ","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Fertilizaci<U+FFFD>. Fertilizaci<U+FFFD> Org<U+FFFD>ica. En Almacigos."
"122","a1D360000050b2gEAA","ALTERNATIVAS DE BIOPREPARADOS Biofungicidas Decocci<U+FFFD> de Cola de Caballo"
"123","a1D360000050b2hEAA","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Biol"
"124","a1D360000050b2iEAA","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Extracto de Ortiga"
"125","a1D360000050b2jEAA","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Biofertilizante Liquido Enriquecido"
"126","a1D36000003zBmPEAU","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"127","a1D36000003zBmQEAU","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"128","a1D36000003zBmREAU","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Decolorado <U+FFFD>mbar o Cardenillo"
"129","a1D36000003zBmSEAU","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"130","a1D36000003zBmTEAU","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"131","a1D360000050b3UEAQ","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Pasta Fertilizante para Tronco de Frutales (Biodin<U+FFFD>ico)"
"132","a1D360000050b48EAA","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Extracto de Marco o Altamisa (Ambrosia arborescens)."
"133","a1D360000050b3eEAA","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Biol"
"134","a1D360000050b3PEAQ","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Fertilizante Enriquecido Super Magro"
"135","a1D360000050b3QEAQ","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Humus L<U+FFFD>uido"
"136","a1D36000003xkHREAY","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"137","a1D36000003xkIZEAY","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Caf<U+FFFD> Especiales Definici<U+FFFD> de Caf<U+FFFD>Especial"
"138","a1D36000003xkU5EAI","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Fertilizaci<U+FFFD>. Fertilizaci<U+FFFD> Org<U+FFFD>ica. En Almacigos."
"139","a1D36000003xkU6EAI","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Protecci<U+FFFD> del cafetal"
"140","a1D36000003xkU7EAI","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Fertilizaci<U+FFFD>"
"141","a1D36000003xkU8EAI","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Definiciones y Conceptos"
"142","a1D36000003xkTXEAY","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Broca Control de la Broca Control biol<U+FFFD>ico"
"143","a1D36000003xkTYEAY","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Broca Control de la Broca Control cultural"
"144","a1D36000003xkTZEAY","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Broca Control de la Broca Control qu<U+FFFD>ico"
"145","a1D36000003xkTaEAI","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Broca Caracter<U+FFFD>ticas de la Broca"
"146","a1D36000003xkTbEAI","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Caf<U+FFFD> Especiales Caf<U+FFFD>Descafeinado"
"147","a1D36000003xkTcEAI","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - An<U+FFFD>isis del Riesgo Lista de chequeo, identificaci<U+FFFD>, an<U+FFFD>isis y evaluaci<U+FFFD> de riesgos y plan de acci<U+FFFD> y seguimiento. Riesgos de seguridad"
"148","a1D36000003xkTdEAI","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - An<U+FFFD>isis del Riesgo Identificaci<U+FFFD> del riesgo"
"149","a1D36000003xkTeEAI","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - An<U+FFFD>isis del Riesgo Identificaci<U+FFFD> del riesgo"
"150","a1D36000003xkTfEAI","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - An<U+FFFD>isis del Riesgo Identificaci<U+FFFD> del riesgo"
"151","a1D36000003xkItEAI","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Caf<U+FFFD> Especiales Definici<U+FFFD> de Caf<U+FFFD>Especial"
"152","a1D36000003xkM7EAI","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Ara<U+FFFD>ta Roja Control de la Ara<U+FFFD>ta Roja Control qu<U+FFFD>ico"
"153","a1D36000003xkM8EAI","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Ara<U+FFFD>ta Roja Control de la Ara<U+FFFD>ta Roja Control biol<U+FFFD>ico"
"154","a1D36000003xkM9EAI","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Aspiradora multifuelle."
"155","a1D36000003xkMAEAY","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Almacigo."
"156","a1D36000003xkPVEAY","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Definiciones y Conceptos"
"157","a1D36000003xkPWEAY","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Definiciones y Conceptos"
"158","a1D36000003xkIUEAY","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Fertilizaci<U+FFFD>"
"159","a1D36000003xkIVEAY","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Definiciones y Conceptos"
"160","a1D36000003xkLEEAY","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Evaluaci<U+FFFD> Riesgos"
"161","a1D36000003wqHvEAI","Best Practices Pruning"
"162","a1D36000003yPauEAE","Ensilaje de Pulpa de Cafe Descripci<U+FFFD> del Proceso de Ensilaje"
"163","a1D36000003yPavEAE","Ensilaje de Pulpa de Cafe 2 - Tipo de Silo"
"164","a1D36000003yPawEAE","Ensilaje de Pulpa de Cafe 1- Caracteristicas de la Pulpa"
"165","a1D36000003xdkJEAQ","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"166","a1D36000003yP5cEAE","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Aplastado"
"167","a1D36000003yQy1EAE","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Fertilizaci<U+FFFD>. Importante."
"168","a1D36000003yQy2EAE","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Germinador."
"169","a1D36000003yQy3EAE","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Lavado Tipos de Lavado Hidrocicl<U+FFFD>"
"170","a1D36000003ykXHEAY","Descripci<U+FFFD> General y Construcci<U+FFFD>"
"171","a1D36000003xidkEAA","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Picado por Insectos"
"172","a1D36000003xidlEAA","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"173","a1D36000003xidmEAA","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"174","a1D36000003ymIrEAI","Descripci<U+FFFD> General y Construcci<U+FFFD>"
"175","a1D36000003yAaWEAU","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Pur<U+FFFD> de Penca Sabila (Aloe vera)."
"176","a1D36000003xjqkEAA","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Caf<U+FFFD> Especiales Origen del Caf<U+FFFD>Especial"
"177","a1D36000003yskaEAA","Descripci<U+FFFD> General y Construcci<U+FFFD>"
"178","a1D36000003yskbEAA","Datos Importantes de la trampa"
"179","a1D36000003yskcEAA","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - An<U+FFFD>isis del Riesgo Identificaci<U+FFFD> del riesgo"
"180","a1D36000003yqzWEAQ","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Germinador."
"181","a1D36000003yqzXEAQ","Descripci<U+FFFD> General y Construcci<U+FFFD>"
"182","a1D36000003wuQcEAI","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
